doi;cluster
10.14529/jsfi140201;3
10.14529/jsfi140202;3
10.14529/jsfi140203;3
10.14529/jsfi140204;1
10.14529/jsfi140205;5
10.14529/jsfi140101;3
10.14529/jsfi140105;3
10.14529/jsfi140103;3
10.14529/jsfi140207;3
10.14529/jsfi140102;3
10.14529/jsfi140106;3
10.14529/jsfi140104;1
10.14529/jsfi140206;3
10.14529/jsfi140305;1
10.14529/jsfi140301;3
10.14529/jsfi140302;3
10.14529/jsfi140304;3
10.14529/jsfi140303;1
10.14529/jsfi150202;3
10.14529/jsfi150104;3
10.14529/jsfi150205;4
10.14529/jsfi150102;4
10.14529/jsfi150201;3
10.14529/jsfi150204;4
10.14529/jsfi150203;4
10.14529/jsfi150206;4
10.14529/jsfi150103;1
10.14529/jsfi150307;1
10.14529/jsfi150305;3
10.14529/jsfi150304;3
10.14529/jsfi150101;1
10.14529/jsfi150401;3
10.14529/jsfi150303;3
10.14529/jsfi150302;3
10.14529/jsfi150306;2
10.14529/jsfi150301;2
10.14529/jsfi150402;1
10.14529/jsfi150403;0
10.14529/jsfi150404;1
10.14529/jsfi160101;3
10.14529/jsfi150405;3
10.14529/jsfi160201;1
10.14529/jsfi160202;1
10.14529/jsfi160203;3
10.14529/jsfi160204;3
10.14529/jsfi160205;3
10.14529/jsfi160102;3
10.14529/jsfi160103;1
10.14529/jsfi160104;3
10.14529/jsfi160105;5
10.14529/jsfi160206;0
10.14529/jsfi160301;1
10.14529/jsfi160302;3
10.14529/jsfi160303;3
10.14529/jsfi160304;3
10.14529/jsfi160305;1
10.14529/jsfi160306;3
10.14529/jsfi160307;1
10.14529/jsfi160308;1
10.14529/jsfi160401;2
10.14529/jsfi160402;2
10.14529/jsfi160403;2
10.14529/jsfi160404;2
10.14529/jsfi160405;3
10.14529/jsfi160406;1
10.14529/jsfi170101;3
10.14529/jsfi170102;3
10.14529/jsfi170103;3
10.14529/jsfi170104;3
10.14529/jsfi170105;3
10.14529/jsfi170201;3
10.14529/jsfi170202;1
10.14529/jsfi170203;3
10.14529/jsfi170204;3
10.14529/jsfi170205;1
10.14529/jsfi170206;3
10.14529/jsfi170301;3
10.14529/jsfi170207;3
10.14529/jsfi170401;3
10.14529/jsfi170302;2
10.14529/jsfi170303;2
10.14529/jsfi170304;2
10.14529/jsfi170305;1
10.14529/jsfi170306;3
10.14529/jsfi170307;3
10.14529/jsfi170402;5
10.14529/jsfi170403;1
10.14529/jsfi170404;3
10.14529/jsfi170405;3
10.14529/jsfi200106;3
10.14529/jsfi180102;3
10.14529/jsfi180103;3
10.14529/jsfi180104;3
10.14529/jsfi180105;3
10.14529/jsfi180106;3
10.14529/jsfi190105;3
10.14529/jsfi180101;1
10.14529/jsfi180204;1
10.14529/jsfi180206;0
10.14529/jsfi180208;1
10.14529/jsfi180203;1
10.14529/jsfi180401;1
10.14529/jsfi180202;1
10.14529/jsfi180207;1
10.14529/jsfi180201;3
10.14529/jsfi180205;1
10.14529/jsfi180402;3
10.14529/jsfi180403;3
10.14529/jsfi180301;3
10.14529/jsfi180404;3
10.14529/jsfi180302;1
10.14529/jsfi180303;0
10.14529/jsfi180304;1
10.14529/jsfi180305;1
10.14529/jsfi180306;1
10.14529/jsfi180307;1
10.14529/jsfi180308;0
10.14529/jsfi180405;0
10.14529/jsfi180309;1
10.14529/jsfi180310;0
10.14529/jsfi180311;1
